"";"time";"group";"type";"rate"
"358";1,6;"Compl non-REW";"N";9,02777777777778e-05
"359";1,8;"Compl non-REW";"N";4,86111111111111e-05
"360";2;"Compl non-REW";"N";6,25e-05
"361";2,2;"Compl non-REW";"N";4,16666666666667e-05
"362";2,4;"Compl non-REW";"N";0,000104166666666667
"363";2,6;"Compl non-REW";"N";4,16666666666667e-05
"364";2,8;"Compl non-REW";"N";9,72222222222222e-05
"365";3;"Compl non-REW";"N";6,25e-05
"366";3,2;"Compl non-REW";"N";6,94444444444444e-05
"367";3,4;"Compl non-REW";"N";6,25e-05
"368";3,6;"Compl non-REW";"N";7,63888888888889e-05
"369";3,8;"Compl non-REW";"N";4,86111111111111e-05
"370";4;"Compl non-REW";"N";8,33333333333333e-05
"371";4,2;"Compl non-REW";"N";9,02777777777778e-05
"372";4,4;"Compl non-REW";"N";4,86111111111111e-05
"373";4,6;"Compl non-REW";"N";5,55555555555556e-05
"374";4,8;"Compl non-REW";"N";4,16666666666667e-05
"375";5;"Compl non-REW";"N";3,47222222222222e-05
"376";5,2;"Compl non-REW";"N";6,25e-05
"377";5,4;"Compl non-REW";"N";6,94444444444444e-05
"378";5,6;"Compl non-REW";"N";2,77777777777778e-05
"379";5,8;"Compl non-REW";"N";4,16666666666667e-05
"380";6;"Compl non-REW";"N";6,25e-05
"381";6,2;"Compl non-REW";"N";9,72222222222222e-05
"382";6,4;"Compl non-REW";"N";5,55555555555556e-05
"383";6,6;"Compl non-REW";"N";3,47222222222222e-05
"384";6,8;"Compl non-REW";"N";3,47222222222222e-05
"385";7;"Compl non-REW";"N";7,63888888888889e-05
"386";7,2;"Compl non-REW";"N";8,33333333333333e-05
"387";7,4;"Compl non-REW";"N";2,08333333333333e-05
"388";7,6;"Compl non-REW";"N";6,25e-05
"389";7,8;"Compl non-REW";"N";4,16666666666667e-05
"390";8;"Compl non-REW";"N";6,25e-05
"391";8,2;"Compl non-REW";"N";4,16666666666667e-05
"392";8,4;"Compl non-REW";"N";2,77777777777778e-05
"393";8,6;"Compl non-REW";"N";5,55555555555556e-05
"394";8,8;"Compl non-REW";"N";4,16666666666667e-05
"395";9;"Compl non-REW";"N";4,86111111111111e-05
"396";9,2;"Compl non-REW";"N";5,55555555555556e-05
"397";9,4;"Compl non-REW";"N";2,77777777777778e-05
"398";9,6;"Compl non-REW";"N";6,25e-05
"399";9,8;"Compl non-REW";"N";4,16666666666667e-05
"400";10;"Compl non-REW";"N";0,000214285714285714
"401";0,2;"Compl REW";"N";6,15509591376062e-05
"402";0,4;"Compl REW";"N";7,00757575757576e-05
"403";0,6;"Compl REW";"N";6,37626262626263e-05
"404";0,8;"Compl REW";"N";4,92424242424242e-05
"405";1;"Compl REW";"N";4,22979797979798e-05
"406";1,2;"Compl REW";"N";4,16666666666667e-05
"407";1,4;"Compl REW";"N";5,68181818181818e-05
"408";1,6;"Compl REW";"N";7,00757575757576e-05
"409";1,8;"Compl REW";"N";7,7020202020202e-05
"410";2;"Compl REW";"N";9,1540404040404e-05
"411";2,2;"Compl REW";"N";0,000118686868686869
"412";2,4;"Compl REW";"N";8,45959595959596e-05
"413";2,6;"Compl REW";"N";0,000118686868686869
"414";2,8;"Compl REW";"N";8,39646464646465e-05
"415";3;"Compl REW";"N";7,00757575757576e-05
"416";3,2;"Compl REW";"N";9,84848484848485e-05
"417";3,4;"Compl REW";"N";9,1540404040404e-05
"418";3,6;"Compl REW";"N";0,000111742424242424
"419";3,8;"Compl REW";"N";0,000119318181818182
"420";4;"Compl REW";"N";0,000119318181818182
"421";4,2;"Compl REW";"N";0,000147727272727273
"422";4,4;"Compl REW";"N";0,000113005050505051
"423";4,6;"Compl REW";"N";0,00010479797979798
"424";4,8;"Compl REW";"N";7,89141414141414e-05
"425";5;"Compl REW";"N";0,000138888888888889
"426";5,2;"Compl REW";"N";0,000133838383838384
"427";5,4;"Compl REW";"N";9,09090909090909e-05
"428";5,6;"Compl REW";"N";0,00010479797979798
"429";5,8;"Compl REW";"N";9,78535353535353e-05
"430";6;"Compl REW";"N";0,000128156565656566
"431";6,2;"Compl REW";"N";0,000139520202020202
"432";6,4;"Compl REW";"N";0,000105429292929293
"433";6,6;"Compl REW";"N";0,000112373737373737
"434";6,8;"Compl REW";"N";9,78535353535353e-05
"435";7;"Compl REW";"N";0,000189393939393939
"436";7,2;"Compl REW";"N";9,78535353535353e-05
"437";7,4;"Compl REW";"N";8,45959595959596e-05
"438";7,6;"Compl REW";"N";0,00010479797979798
"439";7,8;"Compl REW";"N";0,000175505050505051
"440";8;"Compl REW";"N";0,000119318181818182
"441";8,2;"Compl REW";"N";0,00010479797979798
"442";8,4;"Compl REW";"N";0,000126893939393939
"443";8,6;"Compl REW";"N";0,000113005050505051
"444";8,8;"Compl REW";"N";0,000134469696969697
"445";9;"Compl REW";"N";0,000132575757575758
"446";9,2;"Compl REW";"N";0,00010479797979798
"447";9,4;"Compl REW";"N";0,000154040404040404
"448";9,6;"Compl REW";"N";6,94444444444444e-05
"449";9,8;"Compl REW";"N";0,000111111111111111
"450";10;"Compl REW";"N";0,000208333333333333
"451";10,2;"Compl REW";"N";0,001
"452";10,4;"Compl REW";"N";0
"453";10,6;"Compl REW";"N";0,001
"454";10,8;"Compl REW";"N";0,001
"455";11;"Compl REW";"N";0
"456";11,2;"Compl REW";"N";0,001
"457";11,4;"Compl REW";"N";0
"458";11,6;"Compl REW";"N";0
"459";11,8;"Compl REW";"N";0
"460";12;"Compl REW";"N";0
"461";12,2;"Compl REW";"N";0,001
"462";12,4;"Compl REW";"N";0
"463";12,6;"Compl REW";"N";0,001
"464";12,8;"Compl REW";"N";0
"465";0,2;"Control 2";"N";8,05895906342335e-05
"466";0,4;"Control 2";"N";4,16666666666667e-05
"467";0,6;"Control 2";"N";7,63888888888889e-05
"468";0,8;"Control 2";"N";2,77777777777778e-05
"469";1;"Control 2";"N";5,55555555555556e-05
"470";1,2;"Control 2";"N";6,94444444444444e-05
"471";1,4;"Control 2";"N";6,94444444444444e-05
"472";1,6;"Control 2";"N";7,63888888888889e-05
"473";1,8;"Control 2";"N";5,55555555555556e-05
"474";2;"Control 2";"N";8,33333333333333e-05
"475";2,2;"Control 2";"N";5,55555555555556e-05
"476";2,4;"Control 2";"N";4,86111111111111e-05
"477";2,6;"Control 2";"N";9,02777777777778e-05
"478";2,8;"Control 2";"N";5,55555555555556e-05
"479";3;"Control 2";"N";9,02777777777778e-05
"480";3,2;"Control 2";"N";6,94444444444444e-05
"481";3,4;"Control 2";"N";5,55555555555556e-05
"482";3,6;"Control 2";"N";5,55555555555556e-05
"483";3,8;"Control 2";"N";8,33333333333333e-05
"484";4;"Control 2";"N";5,55555555555556e-05
"485";4,2;"Control 2";"N";9,72222222222222e-05
"486";4,4;"Control 2";"N";3,47222222222222e-05
"487";4,6;"Control 2";"N";2,77777777777778e-05
"488";4,8;"Control 2";"N";6,25e-05
"489";5;"Control 2";"N";9,72222222222222e-05
"490";5,2;"Control 2";"N";6,94444444444444e-05
"491";5,4;"Control 2";"N";9,72222222222222e-05
"492";5,6;"Control 2";"N";7,63888888888889e-05
"493";5,8;"Control 2";"N";5,55555555555556e-05
"494";6;"Control 2";"N";7,63888888888889e-05
"495";6,2;"Control 2";"N";7,63888888888889e-05
"496";6,4;"Control 2";"N";6,94444444444444e-05
"497";6,6;"Control 2";"N";4,16666666666667e-05
"498";6,8;"Control 2";"N";7,63888888888889e-05
"499";7;"Control 2";"N";0,000111111111111111
"500";7,2;"Control 2";"N";5,55555555555556e-05
"501";7,4;"Control 2";"N";6,94444444444444e-05
"502";7,6;"Control 2";"N";6,94444444444444e-05
"503";7,8;"Control 2";"N";4,16666666666667e-05
"504";8;"Control 2";"N";7,63888888888889e-05
"505";8,2;"Control 2";"N";0,000118055555555556
"506";8,4;"Control 2";"N";8,33333333333333e-05
"507";8,6;"Control 2";"N";5,55555555555556e-05
"508";8,8;"Control 2";"N";6,94444444444444e-05
"509";9;"Control 2";"N";5,55555555555556e-05
"510";9,2;"Control 2";"N";7,63888888888889e-05
"511";9,4;"Control 2";"N";4,16666666666667e-05
"512";9,6;"Control 2";"N";6,94444444444444e-05
"513";9,8;"Control 2";"N";5,61868686868687e-05
"514";10;"Control 2";"N";0,000125
