"";"time";"group";"type";"rate"
"96";4,2;"Static non-REW";"L";1,15740740740741e-05
"97";4,4;"Static non-REW";"L";2,31481481481481e-06
"98";4,6;"Static non-REW";"L";6,94444444444444e-06
"99";4,8;"Static non-REW";"L";0
"100";5;"Static non-REW";"L";4,62962962962963e-06
"101";5,2;"Static non-REW";"L";4,62962962962963e-06
"102";5,4;"Static non-REW";"L";2,08333333333333e-05
"103";5,6;"Static non-REW";"L";0
"104";5,8;"Static non-REW";"L";4,62962962962963e-06
"105";6;"Static non-REW";"L";1,15740740740741e-05
"106";6,2;"Static non-REW";"L";2,31481481481481e-06
"107";6,4;"Static non-REW";"L";2,31481481481481e-06
"108";6,6;"Static non-REW";"L";6,94444444444444e-06
"109";6,8;"Static non-REW";"L";0
"110";7;"Static non-REW";"L";2,31481481481481e-06
"111";7,2;"Static non-REW";"L";2,31481481481481e-06
"112";7,4;"Static non-REW";"L";6,94444444444444e-06
"113";7,6;"Static non-REW";"L";6,94444444444444e-06
"114";7,8;"Static non-REW";"L";2,31481481481481e-06
"115";8;"Static non-REW";"L";9,25925925925926e-06
"116";8,2;"Static non-REW";"L";1,38888888888889e-05
"117";8,4;"Static non-REW";"L";9,25925925925926e-06
"118";8,6;"Static non-REW";"L";1,15740740740741e-05
"119";8,8;"Static non-REW";"L";1,15740740740741e-05
"120";9;"Static non-REW";"L";6,94444444444444e-06
"121";9,2;"Static non-REW";"L";9,25925925925926e-06
"122";9,4;"Static non-REW";"L";4,62962962962963e-06
"123";9,6;"Static non-REW";"L";1,38888888888889e-05
"124";9,8;"Static non-REW";"L";1,38888888888889e-05
"125";10;"Static non-REW";"L";1,15740740740741e-05
"126";10,2;"Static non-REW";"L";9,25925925925926e-06
"127";10,4;"Static non-REW";"L";9,25925925925926e-06
"128";10,6;"Static non-REW";"L";1,38888888888889e-05
"129";10,8;"Static non-REW";"L";6,94444444444444e-06
"130";11;"Static non-REW";"L";6,94444444444444e-06
"131";11,2;"Static non-REW";"L";4,62962962962963e-06
"132";11,4;"Static non-REW";"L";2,31481481481481e-06
"133";11,6;"Static non-REW";"L";1,38888888888889e-05
"134";11,8;"Static non-REW";"L";9,25925925925926e-06
"135";12;"Static non-REW";"L";1,15740740740741e-05
"136";12,2;"Static non-REW";"L";1,15740740740741e-05
"137";12,4;"Static non-REW";"L";2,31481481481481e-06
"138";12,6;"Static non-REW";"L";0
"139";12,8;"Static non-REW";"L";1,62037037037037e-05
"140";13;"Static non-REW";"L";1,62037037037037e-05
"141";13,2;"Static non-REW";"L";6,94444444444444e-06
"142";13,4;"Static non-REW";"L";6,94444444444444e-06
"143";13,6;"Static non-REW";"L";1,85185185185185e-05
"144";13,8;"Static non-REW";"L";1,85185185185185e-05
"145";14;"Static non-REW";"L";1,15740740740741e-05
"146";14,2;"Static non-REW";"L";9,25925925925926e-06
"147";14,4;"Static non-REW";"L";2,5462962962963e-05
"148";14,6;"Static non-REW";"L";1,62037037037037e-05
"149";14,8;"Static non-REW";"L";4,62962962962963e-06
"150";15;"Static non-REW";"L";1,45253740683848e-05
"151";0,2;"Dynamic REW";"L";8,80328068038212e-05
"152";0,4;"Dynamic REW";"L";8,7962962962963e-05
"153";0,6;"Dynamic REW";"L";7,40740740740741e-05
"154";0,8;"Dynamic REW";"L";9,72222222222222e-05
"155";1;"Dynamic REW";"L";6,94444444444444e-05
"156";1,2;"Dynamic REW";"L";9,72222222222222e-05
"157";1,4;"Dynamic REW";"L";3,7037037037037e-05
"158";1,6;"Dynamic REW";"L";8,33333333333333e-05
"159";1,8;"Dynamic REW";"L";6,01851851851852e-05
"160";2;"Dynamic REW";"L";0,000101851851851852
"161";2,2;"Dynamic REW";"L";0,000111111111111111
"162";2,4;"Dynamic REW";"L";0,00012037037037037
"163";2,6;"Dynamic REW";"L";4,16666666666667e-05
"164";2,8;"Dynamic REW";"L";9,72222222222222e-05
"165";3;"Dynamic REW";"L";0,000101851851851852
"166";3,2;"Dynamic REW";"L";9,72222222222222e-05
"167";3,4;"Dynamic REW";"L";8,7962962962963e-05
"168";3,6;"Dynamic REW";"L";0,000111111111111111
"169";3,8;"Dynamic REW";"L";8,33333333333333e-05
"170";4;"Dynamic REW";"L";8,7962962962963e-05
"171";4,2;"Dynamic REW";"L";0,00012962962962963
"172";4,4;"Dynamic REW";"L";0,000152777777777778
"173";4,6;"Dynamic REW";"L";9,25925925925926e-05
"174";4,8;"Dynamic REW";"L";8,7962962962963e-05
"175";5;"Dynamic REW";"L";8,33333333333333e-05
"176";5,2;"Dynamic REW";"L";8,7962962962963e-05
"177";5,4;"Dynamic REW";"L";0,000111111111111111
"178";5,6;"Dynamic REW";"L";9,25925925925926e-05
"179";5,8;"Dynamic REW";"L";0,000115740740740741
"180";6;"Dynamic REW";"L";8,7962962962963e-05
"181";6,2;"Dynamic REW";"L";6,48148148148148e-05
"182";6,4;"Dynamic REW";"L";0,000115740740740741
"183";6,6;"Dynamic REW";"L";9,25925925925926e-05
"184";6,8;"Dynamic REW";"L";0,000115740740740741
"185";7;"Dynamic REW";"L";0,000115740740740741
"186";7,2;"Dynamic REW";"L";0,000111111111111111
"187";7,4;"Dynamic REW";"L";6,94444444444444e-05
"188";7,6;"Dynamic REW";"L";8,33333333333333e-05
"189";7,8;"Dynamic REW";"L";6,01851851851852e-05
"190";8;"Dynamic REW";"L";0,000125
"191";8,2;"Dynamic REW";"L";0,000101851851851852
"192";8,4;"Dynamic REW";"L";0,000101851851851852
"193";8,6;"Dynamic REW";"L";9,72222222222222e-05
"194";8,8;"Dynamic REW";"L";9,72222222222222e-05
"195";9;"Dynamic REW";"L";0,00012037037037037
"196";9,2;"Dynamic REW";"L";0,000106481481481481
"197";9,4;"Dynamic REW";"L";0,000125
"198";9,6;"Dynamic REW";"L";5,09259259259259e-05
"199";9,8;"Dynamic REW";"L";9,72222222222222e-05
"200";10;"Dynamic REW";"L";0,000111111111111111
"201";10,2;"Dynamic REW";"L";9,72222222222222e-05
"202";10,4;"Dynamic REW";"L";0,000111111111111111
"203";10,6;"Dynamic REW";"L";8,7962962962963e-05
"204";10,8;"Dynamic REW";"L";9,25925925925926e-05
"205";11;"Dynamic REW";"L";9,72222222222222e-05
"206";11,2;"Dynamic REW";"L";0,000143518518518519
"207";11,4;"Dynamic REW";"L";7,40740740740741e-05
"208";11,6;"Dynamic REW";"L";8,33333333333333e-05
"209";11,8;"Dynamic REW";"L";0,000106481481481481
"210";12;"Dynamic REW";"L";9,72222222222222e-05
"211";12,2;"Dynamic REW";"L";8,7962962962963e-05
"212";12,4;"Dynamic REW";"L";0,000106481481481481
"213";12,6;"Dynamic REW";"L";9,25925925925926e-05
"214";12,8;"Dynamic REW";"L";4,62962962962963e-05
"215";13;"Dynamic REW";"L";6,48148148148148e-05
"216";13,2;"Dynamic REW";"L";6,48148148148148e-05
"217";13,4;"Dynamic REW";"L";0,000134259259259259
"218";13,6;"Dynamic REW";"L";9,72222222222222e-05
"219";13,8;"Dynamic REW";"L";0,000138888888888889
"220";14;"Dynamic REW";"L";5,09259259259259e-05
"221";14,2;"Dynamic REW";"L";0,000101851851851852
"222";14,4;"Dynamic REW";"L";0,000101851851851852
"223";14,6;"Dynamic REW";"L";9,72222222222222e-05
"224";14,8;"Dynamic REW";"L";0,000106481481481481
"225";15;"Dynamic REW";"L";7,23605098605099e-05
"226";0,2;"Static REW";"L";9,84992309378804e-05
"227";0,4;"Static REW";"L";8,7962962962963e-05
"228";0,6;"Static REW";"L";5,09259259259259e-05
"229";0,8;"Static REW";"L";5,55555555555556e-05
"230";1;"Static REW";"L";4,16666666666667e-05
"231";1,2;"Static REW";"L";5,55555555555556e-05
"232";1,4;"Static REW";"L";5,09259259259259e-05
"233";1,6;"Static REW";"L";7,40740740740741e-05
"234";1,8;"Static REW";"L";4,62962962962963e-05
"235";2;"Static REW";"L";8,33333333333333e-05
"236";2,2;"Static REW";"L";6,48148148148148e-05
"237";2,4;"Static REW";"L";6,94444444444444e-05
"238";2,6;"Static REW";"L";9,72222222222222e-05
"239";2,8;"Static REW";"L";0,000106481481481481
"240";3;"Static REW";"L";0,000115740740740741
"241";3,2;"Static REW";"L";6,01851851851852e-05
"242";3,4;"Static REW";"L";0,000106481481481481
"243";3,6;"Static REW";"L";0,000101851851851852
"244";3,8;"Static REW";"L";6,48148148148148e-05
"245";4;"Static REW";"L";6,94444444444444e-05
"246";4,2;"Static REW";"L";7,40740740740741e-05
"247";4,4;"Static REW";"L";0,000106481481481481
"248";4,6;"Static REW";"L";5,55555555555556e-05
"249";4,8;"Static REW";"L";6,94444444444444e-05
"250";5;"Static REW";"L";0,000101851851851852
"251";5,2;"Static REW";"L";7,87037037037037e-05
"252";5,4;"Static REW";"L";9,25925925925926e-05
"253";5,6;"Static REW";"L";6,01851851851852e-05
"254";5,8;"Static REW";"L";7,40740740740741e-05
"255";6;"Static REW";"L";5,09259259259259e-05
"256";6,2;"Static REW";"L";7,87037037037037e-05
"257";6,4;"Static REW";"L";9,25925925925926e-05
"258";6,6;"Static REW";"L";9,72222222222222e-05
"259";6,8;"Static REW";"L";8,33333333333333e-05
"260";7;"Static REW";"L";0,000106481481481481
"261";7,2;"Static REW";"L";8,7962962962963e-05
"262";7,4;"Static REW";"L";0,000106481481481481
"263";7,6;"Static REW";"L";7,40740740740741e-05
"264";7,8;"Static REW";"L";6,48148148148148e-05
"265";8;"Static REW";"L";7,87037037037037e-05
"266";8,2;"Static REW";"L";8,33333333333333e-05
"267";8,4;"Static REW";"L";8,33333333333333e-05
"268";8,6;"Static REW";"L";8,33333333333333e-05
"269";8,8;"Static REW";"L";0,00012037037037037
"270";9;"Static REW";"L";6,01851851851852e-05
"271";9,2;"Static REW";"L";0,000101851851851852
"272";9,4;"Static REW";"L";0,000101851851851852
"273";9,6;"Static REW";"L";9,25925925925926e-05
"274";9,8;"Static REW";"L";7,87037037037037e-05
"275";10;"Static REW";"L";0,000115740740740741
"276";10,2;"Static REW";"L";8,7962962962963e-05
"277";10,4;"Static REW";"L";9,25925925925926e-05
"278";10,6;"Static REW";"L";9,25925925925926e-05
"279";10,8;"Static REW";"L";8,33333333333333e-05
"280";11;"Static REW";"L";6,01851851851852e-05
"281";11,2;"Static REW";"L";8,7962962962963e-05
"282";11,4;"Static REW";"L";9,72222222222222e-05
"283";11,6;"Static REW";"L";7,40740740740741e-05
"284";11,8;"Static REW";"L";9,72222222222222e-05
"285";12;"Static REW";"L";8,7962962962963e-05
"286";12,2;"Static REW";"L";5,09259259259259e-05
"287";12,4;"Static REW";"L";4,16666666666667e-05
"288";12,6;"Static REW";"L";8,7962962962963e-05
"289";12,8;"Static REW";"L";0,000125
"290";13;"Static REW";"L";6,01851851851852e-05
"291";13,2;"Static REW";"L";9,72222222222222e-05
"292";13,4;"Static REW";"L";6,48148148148148e-05
"293";13,6;"Static REW";"L";7,40740740740741e-05
"294";13,8;"Static REW";"L";8,33333333333333e-05
"295";14;"Static REW";"L";8,33333333333333e-05
"296";14,2;"Static REW";"L";7,40740740740741e-05
"297";14,4;"Static REW";"L";4,16666666666667e-05
"298";14,6;"Static REW";"L";7,87037037037037e-05
"299";14,8;"Static REW";"L";7,87037037037037e-05
"300";15;"Static REW";"L";3,16468253968254e-05
